% SenecaTraining log file generated with citation-logger with CVS tag $Id: CitationLogger.cxx,v 1.1.1.1 2022/02/17 15:04:28 matteopiras Exp $
% eventID at start: 70; loaded inco file: GearTuning.inco
% Notes: 
% run started on Fri Apr  8 10:25:15 2022
% 
time	Y_p	Y_q	Y_r	Y_vtas	Y_alpha	Y_beta	Y_phi	Y_theta	Y_psi	Y_h	Y_x	Y_y	Y_pdot	Y_qdot	Y_rdot	Y_vtasdot	Y_hdot	Y_ralt	Y_m	Y_uwinde	Y_vwinde	Y_wwinde	Y_fxcg	Y_fycg	Y_fzcg	Y_n	Y_gamma	Y_chi	Y_vground	Y_torqueleft	Y_rpmleft	Y_rpmleft_IGNORE	Y_torqueright	Y_rpmright	Y_rpmright_IGNORE	Y_flaps_IGNORE	Y_gear_IGNORE	Y_de0	Y_da0	Y_dr0	Y_dte0	Y_dta0	Y_dtr0	Y_df0	Y_gear0	Y_pla10	Y_pla20	APstate	curVerticalState	curLateralState	theta_erf	phi_ref	ap_de	ap_da	ap_dr	target_alt	target_speed	hdg_bug	target_vs	alt_hold	active_nav_source	course	altitude_target_vnav	active_leg	needle_deviation	dme	brg	nav_R	Button_Press	alt_select_GUI	hdg_select_GUI	crs_select_GUI	turbulence	wind_shear	turb_int	wind_vel	wind_dir	GPS_failure	VOR_failure	ADC_failure	PFD_failure	GMU_failure	HSI_failure	AFCS_pit	AFCS_rol	clogged_sp	clogged_pt	
0	-0.000927551	0.0040546	0.00283831	48.4846	-0.0358564	0.000538126	0.00670423	-0.171138	1.53836	784.562	10017.3	41556.7	0.00130611	0.0331729	-0.00023537	0.43844	-6.53929	784.562	0.143764	0	0	0	-1.26007	-0.00209374	-10.462	1.06683	-0.135286	1.53915	48.4846	0.0341539	2787.01	2787.01	0.0341539	2787.01	2787.01	0	1	0.0862	0	0	0	0	0	0.698132	1	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.467	0	0	-1.76877	3.86013	59.2074	7148.96	13	0	0	0	1	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	
0.04	-0.000546937	0.00515884	0.00233285	48.4441	-0.0362497	0.000428068	0.00663807	-0.170979	1.53855	784.301	10017.4	41558.6	0.000472265	0.00213311	-0.000214139	0.437587	-6.50727	784.301	0.143644	0	0	0	-1.25843	-0.00167498	-10.4274	1.0633	-0.134733	1.53923	48.4441	0.0341537	2787.01	2787.01	0.0341537	2787.01	2787.01	0	1	0.0862	0	0	0	0	0	0.698132	1	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.467	0	0	-1.76886	3.85922	59.1999	7147.28	13	0	0	0	1	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	
0.08	-0.000355163	0.00963399	0.0116246	48.5562	-0.0376303	0.00249649	0.00656739	-0.170712	1.53888	784.041	10017.4	41560.5	-0.0076089	0.000260681	0.000330646	0.422357	-6.44366	784.041	0.143975	0	0	0	-1.2704	-0.0114874	-10.3794	1.05841	-0.133098	1.54164	48.5562	0.0341536	2787	2787	0.0341536	2787	2787	0	1	0.0862	0	0	0	0	0	0.698132	1	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.467	0	0	-1.76905	3.85831	59.1924	7145.6	13	0	0	0	1	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	
0.12	-0.000277176	0.00807595	0.0137718	48.5393	-0.0375968	0.00297407	0.0064897	-0.170278	1.53931	783.785	10017.5	41562.4	-0.0095668	-0.0460751	0.000454848	0.419021	-6.42229	783.785	0.143925	0	0	0	-1.26973	-0.0137488	-10.3853	1.05901	-0.1327	1.54255	48.5393	0.0341534	2787	2787	0.0341534	2787	2787	0	1	0.0862	0	0	0	0	0	0.698132	1	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.467	0	0	-1.76933	3.85741	59.1849	7143.92	13	0	0	0	1	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	
0.16	-0.00133135	0.00678208	0.0121225	48.5365	-0.0375777	0.00260517	0.0063544	-0.169886	1.53991	783.53	10017.5	41564.4	-0.00485668	-0.0256742	0.000236078	0.415171	-6.40386	783.53	0.143916	0	0	0	-1.2695	-0.0117376	-10.3788	1.05835	-0.132325	1.54278	48.5365	0.0341533	2786.99	2786.99	0.0341533	2786.99	2786.99	0	1	0.0862	0	0	0	0	0	0.698132	1	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.467	0	0	-1.7697	3.8565	59.1773	7142.24	13	0	0	0	1	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	
0.2	-0.00074017	0.00733177	0.00858043	48.5504	-0.037923	0.00181271	0.00626485	-0.169597	1.54027	783.274	10017.6	41566.3	-0.00390289	-0.00555798	9.82448e-05	0.409979	-6.37492	783.274	0.143957	0	0	0	-1.2712	-0.00815929	-10.3555	1.05596	-0.131685	1.54233	48.5504	0.0341531	2786.98	2786.98	0.0341531	2786.98	2786.98	0	1	0.0862	0	0	0	0	0	0.698132	1	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.467	0	0	-1.77016	3.85559	59.1698	7140.56	13	0	0	0	1	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	
0.24	-0.000788904	0.015653	0.00856438	48.7355	-0.0405144	0.00179873	0.00616718	-0.169162	1.54058	783.021	10017.7	41568.2	-0.00379882	-0.0343525	9.47874e-05	0.383409	-6.25297	783.021	0.144506	0	0	0	-1.29141	-0.00813737	-10.2594	1.04617	-0.128659	1.54265	48.7355	0.034153	2786.98	2786.98	0.034153	2786.98	2786.98	0	1	0.0862	0	0	0	0	0	0.698132	1	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.467	0	0	-1.77069	3.85468	59.1623	7138.87	13	0	0	0	1	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	
0.28	-0.000961801	0.0223649	-0.00452418	48.8902	-0.0430545	-0.00110615	0.0060984	-0.168414	1.54076	782.774	10017.7	41570.1	0.0074998	-0.0651108	-0.000736022	0.355255	-6.11253	782.774	0.144964	0	0	0	-1.30895	0.00573504	-10.151	1.03511	-0.125354	1.53991	48.8902	0.034153	2786.97	2786.97	0.034153	2786.97	2786.97	0	1	0.0862	0	0	0	0	0	0.698132	1	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.467	0	0	-1.77131	3.85377	59.1547	7137.18	13	0	0	0	1	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	
0.32	-0.00122858	0.0185561	0.00396306	48.8123	-0.0427984	0.000767948	0.00605186	-0.16768	1.54082	782.529	10017.8	41572.1	0.00138698	-0.037203	-0.000260401	0.353089	-6.08018	782.529	0.144732	0	0	0	-1.30295	-0.00313161	-10.1275	1.03272	-0.124887	1.54186	48.8123	0.0341529	2786.95	2786.95	0.0341529	2786.95	2786.95	0	1	0.0862	0	0	0	0	0	0.698132	1	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.467	0	0	-1.772	3.85286	59.1471	7135.49	13	0	0	0	1	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	
0.36	-0.00133979	0.0214581	0.00533549	48.8641	-0.0445882	0.00106751	0.00597768	-0.166735	1.54097	782.291	10017.8	41574	0.000604651	-0.0871852	-0.000200637	0.332735	-5.9541	782.291	0.144886	0	0	0	-1.31076	-0.00453584	-10.0341	1.02319	-0.122154	1.54232	48.8641	0.0341528	2786.94	2786.94	0.0341528	2786.94	2786.94	0	1	0.0862	0	0	0	0	0	0.698132	1	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.467	0	0	-1.77276	3.85194	59.1395	7133.8	13	0	0	0	1	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	
